Spencer Tracy 
Spencer Tracy 
Spencer Tracy *
Stephen Rea
Steve Carell
Steve McQueen
Stuart Whitman
Sylvester Stallone
Terrence Howard
Timothée Chalamet
Tom Conti
Tom Courtenay
Tom Cruise
Tom Cruise
Tom Hanks
Tom Hanks
Tom Hanks
Tom Hanks 
Tom Hanks 
Tom Hulce
Tom Wilkinson
Tommy Lee Jones
Tony Curtis
Topol
Trevor Howard
Victor McLaglen 
Viggo Mortensen
Viggo Mortensen
Viggo Mortensen
Wallace Beery
Wallace Beery  
Walter Huston
Walter Huston
Walter Matthau
Walter Matthau
Walter Pidgeon
Walter Pidgeon
Warner Baxter 
Warren Beatty
Warren Beatty
Warren Beatty
Warren Beatty
Will Smith
Will Smith
Willem Dafoe
William Holden
William Holden
William Holden 
William Hurt
William Hurt
William Hurt 
William Powell
William Powell
William Powell
Woody Allen
Woody Harrelson
Yul Brynner 
